station_name,city,datetime,air_temperature,air_temperature_dew_point,wind_speed_rate,visibility_distance,Season_name,month,hour
AL AHSA,AL AHSA,2025-07-15 03:00:00,32.9,8,2.1,10000,Summer,7,3
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-15 03:00:00,27,4,3.6,9900,Summer,7,3
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-15 03:00:00,28,5,2.1,9900,Summer,7,3
WEJH,WEJH,2025-07-15 03:00:00,27,25,1.5,8000,Summer,7,3
TABUK,TABUK,2025-07-15 03:00:00,27.2,8,3.1,10000,Summer,7,3
QAISUMAH,QAISUMAH,2025-07-15 03:00:00,33,-6,2.1,10000,Summer,7,3
GURIAT,GURIAT,2025-07-15 03:00:00,21,7,3.1,9900,Summer,7,3
RAFHA,RAFHA,2025-07-15 03:00:00,27.2,-2,1.5,10000,Summer,7,3
MINA,MINA,2025-07-15 03:00:00,35,7,2.1,10000,Summer,7,3
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-15 03:00:00,32,25,1.5,9900,Summer,7,3
BISHA,BISHA,2025-07-15 03:00:00,28,-3,1.5,9900,Summer,7,3
ABHA,ABHA,2025-07-15 03:00:00,20,1,0,10000,Summer,7,3
ABHA,ABHA,2025-07-15 03:00:00,20,1,0,9900,Summer,7,3
AL AHSA,AL AHSA,2025-07-15 03:00:00,33,8,2.1,9900,Summer,7,3
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-15 03:00:00,33,5,3.6,9900,Summer,7,3
GASSIM,GASSIM,2025-07-15 03:00:00,26.7,-1,2.6,10000,Summer,7,3
HAIL,HAIL,2025-07-15 03:00:00,24.6,-6,1,10000,Summer,7,3
AL JOUF,AL JOUF,2025-07-15 03:00:00,24.9,-5,2.6,10000,Summer,7,3
AL JOUF,AL JOUF,2025-07-15 03:00:00,25,-5,2.6,9900,Summer,7,3
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-15 02:00:00,31,23,2.6,9900,Summer,7,2
GASSIM,GASSIM,2025-07-15 02:00:00,26,-1,1.5,9900,Summer,7,2
HAIL,HAIL,2025-07-15 02:00:00,24,-7,1,9900,Summer,7,2
ARAR,ARAR,2025-07-15 02:00:00,29,-3,4.1,9900,Summer,7,2
TURAIF,TURAIF,2025-07-15 02:00:00,23,-5,4.1,9900,Summer,7,2
TAIF,TAIF,2025-07-15 02:00:00,25,-2,4.1,9900,Summer,7,2
SHARURAH,SHARURAH,2025-07-15 02:00:00,29,-8,2.1,9900,Summer,7,2
KING KHALED AB,KING KHALED AB,2025-07-15 02:00:00,20,3,0,9900,Summer,7,2
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-15 02:00:00,33,4,2.1,9900,Summer,7,2
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-15 02:00:00,32,11,1.5,9900,Summer,7,2
WEJH,WEJH,2025-07-15 02:00:00,28,25,0,8000,Summer,7,2
NEJRAN,NEJRAN,2025-07-15 02:00:00,29,-4,2.1,9900,Summer,7,2
AL BAHA,AL BAHA,2025-07-15 02:00:00,24,-3,4.1,9900,Summer,7,2
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-15 02:00:00,30,24,2.6,9900,Summer,7,2
KING KHALED INTL,KING KHALED INTL,2025-07-15 02:00:00,30,-7,2.1,9900,Summer,7,2
AL AHSA,AL AHSA,2025-07-15 02:00:00,33,5,2.6,9900,Summer,7,2
GURIAT,GURIAT,2025-07-15 02:00:00,22,9,2.1,9900,Summer,7,2
BISHA,BISHA,2025-07-15 02:00:00,29,-2,2.1,9900,Summer,7,2
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-15 02:00:00,31,2,2.1,9900,Summer,7,2
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-15 02:00:00,32,24,0,7000,Summer,7,2
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-15 02:00:00,28,1,3.6,9900,Summer,7,2
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-15 02:00:00,30,5,2.1,9900,Summer,7,2
TABUK,TABUK,2025-07-15 02:00:00,28,6,4.1,9900,Summer,7,2
QAISUMAH,QAISUMAH,2025-07-15 02:00:00,33,-6,3.1,9900,Summer,7,2
ABHA,ABHA,2025-07-15 02:00:00,20,-1,0,9900,Summer,7,2
YENBO,YENBO,2025-07-15 02:00:00,30,27,3.1,9999,Summer,7,2
RAFHA,RAFHA,2025-07-15 02:00:00,28,-2,1.5,9900,Summer,7,2
AL JOUF,AL JOUF,2025-07-15 02:00:00,26,-5,2.1,9900,Summer,7,2
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-15 01:00:00,31,22,2.1,9900,Summer,7,1
SHARURAH,SHARURAH,2025-07-15 01:00:00,29,-10,2.1,9900,Summer,7,1
NEJRAN,NEJRAN,2025-07-15 01:00:00,28,-6,2.1,9900,Summer,7,1
AL BAHA,AL BAHA,2025-07-15 01:00:00,24,-2,4.1,9900,Summer,7,1
BISHA,BISHA,2025-07-15 01:00:00,29,-3,2.6,9900,Summer,7,1
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-15 01:00:00,30,19,1.5,9900,Summer,7,1
YENBO,YENBO,2025-07-15 01:00:00,30,27,1.5,9999,Summer,7,1
KING KHALED INTL,KING KHALED INTL,2025-07-15 01:00:00,31,-5,1.5,9900,Summer,7,1
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-15 01:00:00,28,-7,0,9900,Summer,7,1
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-15 01:00:00,30,6,2.1,9900,Summer,7,1
GURIAT,GURIAT,2025-07-15 01:00:00,24,9,5.1,9900,Summer,7,1
ARAR,ARAR,2025-07-15 01:00:00,30,-5,4.1,9900,Summer,7,1
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-15 01:00:00,32,3,1,9900,Summer,7,1
TABUK,TABUK,2025-07-15 01:00:00,29,5,2.6,9900,Summer,7,1
TAIF,TAIF,2025-07-15 01:00:00,25,-2,4.1,9900,Summer,7,1
ABHA,ABHA,2025-07-15 01:00:00,22,0,0,9900,Summer,7,1
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-15 01:00:00,32,23,1.5,9900,Summer,7,1
RAFHA,RAFHA,2025-07-15 01:00:00,29,-2,2.1,9900,Summer,7,1
AL JOUF,AL JOUF,2025-07-15 01:00:00,28,-8,2.6,9900,Summer,7,1
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-15 01:00:00,32,-1,1.5,9900,Summer,7,1
AL AHSA,AL AHSA,2025-07-15 01:00:00,33,5,2.6,9900,Summer,7,1
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-15 01:00:00,33,18,2.1,9900,Summer,7,1
QAISUMAH,QAISUMAH,2025-07-15 01:00:00,34,-6,3.1,9900,Summer,7,1
TURAIF,TURAIF,2025-07-15 01:00:00,25,-2,4.1,9900,Summer,7,1
KING KHALED AB,KING KHALED AB,2025-07-15 01:00:00,22,2,0,9900,Summer,7,1
GASSIM,GASSIM,2025-07-15 01:00:00,28,-1,2.6,9900,Summer,7,1
WEJH,WEJH,2025-07-15 01:00:00,29,26,1.5,9900,Summer,7,1
HAIL,HAIL,2025-07-15 01:00:00,26,-7,1,9900,Summer,7,1
SHARURAH,SHARURAH,2025-07-15 00:00:00,30,-9,2.1,9900,Summer,7,0
YENBO,YENBO,2025-07-15 00:00:00,30,27,3.1,9999,Summer,7,0
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-15 00:00:00,33,4,2.1,9900,Summer,7,0
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-15 00:00:00,31.6,17,1,10000,Summer,7,0
WEJH,WEJH,2025-07-15 00:00:00,29,26,3.1,9900,Summer,7,0
TABUK,TABUK,2025-07-15 00:00:00,29.6,3,1.5,10000,Summer,7,0
QAISUMAH,QAISUMAH,2025-07-15 00:00:00,34.8,-5,3.1,10000,Summer,7,0
GURIAT,GURIAT,2025-07-15 00:00:00,24,11,5.1,9900,Summer,7,0
RAFHA,RAFHA,2025-07-15 00:00:00,29.2,-2,1.5,10000,Summer,7,0
AL JOUF,AL JOUF,2025-07-15 00:00:00,30,-4,1.5,9900,Summer,7,0
TURAIF,TURAIF,2025-07-15 00:00:00,25,1,5.1,10000,Summer,7,0
TURAIF,TURAIF,2025-07-15 00:00:00,25,1,5.1,9900,Summer,7,0
TAIF,TAIF,2025-07-15 00:00:00,25,-2,3.1,10000,Summer,7,0
AL BAHA,AL BAHA,2025-07-15 00:00:00,25,-3,5.1,9900,Summer,7,0
ABHA,ABHA,2025-07-15 00:00:00,22,4,0,9900,Summer,7,0
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-15 00:00:00,31,-3,4.1,10000,Summer,7,0
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-15 00:00:00,32.2,19,2.6,10000,Summer,7,0
AL AHSA,AL AHSA,2025-07-15 00:00:00,33.4,6,0,10000,Summer,7,0
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-15 00:00:00,29,-7,5.1,9900,Summer,7,0
HAIL,HAIL,2025-07-15 00:00:00,28,-5,1,9900,Summer,7,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-15 00:00:00,32,22,2.1,9900,Summer,7,0
MINA,MINA,2025-07-15 00:00:00,35.8,7,3.1,10000,Summer,7,0
AL BAHA,AL BAHA,2025-07-15 00:00:00,24.8,-3,5.1,10000,Summer,7,0
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-15 00:00:00,31,-3,4.1,9900,Summer,7,0
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-15 00:00:00,32,19,2.6,9900,Summer,7,0
KING KHALED INTL,KING KHALED INTL,2025-07-15 00:00:00,31.5,-5,2.1,10000,Summer,7,0
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-15 00:00:00,32,23,2.1,9900,Summer,7,0
WEJH,WEJH,2025-07-15 00:00:00,29.2,26,3.1,10000,Summer,7,0
HAIL,HAIL,2025-07-15 00:00:00,28.4,-5,1,10000,Summer,7,0
TABUK,TABUK,2025-07-15 00:00:00,30,3,1.5,9900,Summer,7,0
GURIAT,GURIAT,2025-07-15 00:00:00,23.9,11,5.1,10000,Summer,7,0
RAFHA,RAFHA,2025-07-15 00:00:00,29,-2,1.5,9900,Summer,7,0
AL JOUF,AL JOUF,2025-07-15 00:00:00,29.8,-4,1.5,10000,Summer,7,0
ARAR,ARAR,2025-07-15 00:00:00,30.8,-6,3.1,10000,Summer,7,0
TAIF,TAIF,2025-07-15 00:00:00,25,-2,3.1,9900,Summer,7,0
NEJRAN,NEJRAN,2025-07-15 00:00:00,29,-6,2.1,10000,Summer,7,0
BISHA,BISHA,2025-07-15 00:00:00,29.5,-2,6.2,10000,Summer,7,0
BISHA,BISHA,2025-07-15 00:00:00,30,-2,6.2,9900,Summer,7,0
ABHA,ABHA,2025-07-15 00:00:00,21.8,4,0,10000,Summer,7,0
YENBO,YENBO,2025-07-15 00:00:00,30,27,3.1,10000,Summer,7,0
KING KHALED INTL,KING KHALED INTL,2025-07-15 00:00:00,32,-5,2.1,9900,Summer,7,0
AL AHSA,AL AHSA,2025-07-15 00:00:00,33,6,0,9900,Summer,7,0
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-15 00:00:00,32.9,4,2.1,10000,Summer,7,0
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-15 00:00:00,31.7,5,0,10000,Summer,7,0
GASSIM,GASSIM,2025-07-15 00:00:00,29,-2,1.5,9900,Summer,7,0
QAISUMAH,QAISUMAH,2025-07-15 00:00:00,35,-5,3.1,9900,Summer,7,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-15 00:00:00,31.6,22,2.1,10000,Summer,7,0
SHARURAH,SHARURAH,2025-07-15 00:00:00,30.1,-9,2.1,10000,Summer,7,0
NEJRAN,NEJRAN,2025-07-15 00:00:00,29,-6,2.1,9900,Summer,7,0
KING KHALED AB,KING KHALED AB,2025-07-15 00:00:00,21,2,0,10000,Summer,7,0
KING KHALED AB,KING KHALED AB,2025-07-15 00:00:00,21,2,0,9900,Summer,7,0
AL-DAWADAMI,AL-DAWADAMI,2025-07-15 00:00:00,29,-7,5.1,10000,Summer,7,0
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-15 00:00:00,32,17,1,9900,Summer,7,0
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-15 00:00:00,32,5,0,9900,Summer,7,0
GASSIM,GASSIM,2025-07-15 00:00:00,29.4,-2,1.5,10000,Summer,7,0
ARAR,ARAR,2025-07-15 00:00:00,31,-6,3.1,9900,Summer,7,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-14 23:00:00,32,20,1.5,9900,Summer,7,23
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-14 23:00:00,33,4,3.1,9900,Summer,7,23
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-14 23:00:00,33,25,2.1,9900,Summer,7,23
WEJH,WEJH,2025-07-14 23:00:00,29,24,3.6,9900,Summer,7,23
RAFHA,RAFHA,2025-07-14 23:00:00,30,-2,1.5,9900,Summer,7,23
AL JOUF,AL JOUF,2025-07-14 23:00:00,31,-6,2.6,9900,Summer,7,23
ARAR,ARAR,2025-07-14 23:00:00,33,-4,3.1,9900,Summer,7,23
BISHA,BISHA,2025-07-14 23:00:00,30,-3,5.7,9900,Summer,7,23
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-14 23:00:00,32,-3,7.2,9900,Summer,7,23
YENBO,YENBO,2025-07-14 23:00:00,30,27,3.6,9999,Summer,7,23
NEJRAN,NEJRAN,2025-07-14 23:00:00,29,-7,3.1,9900,Summer,7,23
KING KHALED AB,KING KHALED AB,2025-07-14 23:00:00,22,3,0,9900,Summer,7,23
KING KHALED INTL,KING KHALED INTL,2025-07-14 23:00:00,32,-5,2.1,9900,Summer,7,23
AL AHSA,AL AHSA,2025-07-14 23:00:00,34,6,1.5,9900,Summer,7,23
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-14 23:00:00,29,-6,5.7,9900,Summer,7,23
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-14 23:00:00,32,7,3.1,9900,Summer,7,23
GASSIM,GASSIM,2025-07-14 23:00:00,30,-1,0,9900,Summer,7,23
TABUK,TABUK,2025-07-14 23:00:00,30,1,0,9900,Summer,7,23
TURAIF,TURAIF,2025-07-14 23:00:00,26,1,5.1,9900,Summer,7,23
ABHA,ABHA,2025-07-14 23:00:00,22,4,0,9900,Summer,7,23
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-14 23:00:00,32,14,1.5,9900,Summer,7,23
QAISUMAH,QAISUMAH,2025-07-14 23:00:00,35,-5,3.1,9900,Summer,7,23
GURIAT,GURIAT,2025-07-14 23:00:00,25,11,5.1,9900,Summer,7,23
TAIF,TAIF,2025-07-14 23:00:00,25,-2,4.1,9900,Summer,7,23
SHARURAH,SHARURAH,2025-07-14 23:00:00,31,-8,2.1,9900,Summer,7,23
AL BAHA,AL BAHA,2025-07-14 23:00:00,25,-3,6.2,9900,Summer,7,23
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-14 23:00:00,32,16,1,9900,Summer,7,23
HAIL,HAIL,2025-07-14 23:00:00,32,-5,2.1,9900,Summer,7,23
SHARURAH,SHARURAH,2025-07-14 22:00:00,31,-9,0,9900,Summer,7,22
NEJRAN,NEJRAN,2025-07-14 22:00:00,30,-8,2.1,9900,Summer,7,22
AL BAHA,AL BAHA,2025-07-14 22:00:00,26,-3,5.7,9900,Summer,7,22
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-14 22:00:00,34,12,1.5,9900,Summer,7,22
YENBO,YENBO,2025-07-14 22:00:00,30,26,1.5,9900,Summer,7,22
KING KHALED INTL,KING KHALED INTL,2025-07-14 22:00:00,34,-4,2.6,9900,Summer,7,22
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-14 22:00:00,33,20,2.6,9900,Summer,7,22
WEJH,WEJH,2025-07-14 22:00:00,30,24,2.1,9900,Summer,7,22
ARAR,ARAR,2025-07-14 22:00:00,33,-6,4.1,9900,Summer,7,22
HAIL,HAIL,2025-07-14 22:00:00,33,-6,2.1,9900,Summer,7,22
QAISUMAH,QAISUMAH,2025-07-14 22:00:00,35,-5,2.1,9900,Summer,7,22
RAFHA,RAFHA,2025-07-14 22:00:00,32,-1,2.6,9900,Summer,7,22
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-14 22:00:00,35,18,1.5,9900,Summer,7,22
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-14 22:00:00,34,5,2.6,9900,Summer,7,22
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-14 22:00:00,33,15,1.5,9900,Summer,7,22
GASSIM,GASSIM,2025-07-14 22:00:00,33,-5,2.6,9900,Summer,7,22
TABUK,TABUK,2025-07-14 22:00:00,32,1,0,9900,Summer,7,22
TURAIF,TURAIF,2025-07-14 22:00:00,28,2,5.1,9900,Summer,7,22
TAIF,TAIF,2025-07-14 22:00:00,26,-2,3.1,9900,Summer,7,22
ABHA,ABHA,2025-07-14 22:00:00,22,4,0,9900,Summer,7,22
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-14 22:00:00,33,8,3.1,9900,Summer,7,22
GURIAT,GURIAT,2025-07-14 22:00:00,26,11,4.1,9900,Summer,7,22
AL JOUF,AL JOUF,2025-07-14 22:00:00,32,-6,2.1,9900,Summer,7,22
BISHA,BISHA,2025-07-14 22:00:00,31,-1,5.7,9900,Summer,7,22
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-14 22:00:00,33,-2,4.6,9900,Summer,7,22
KING KHALED AB,KING KHALED AB,2025-07-14 22:00:00,22,3,0,9900,Summer,7,22
AL AHSA,AL AHSA,2025-07-14 22:00:00,35,6,2.6,9900,Summer,7,22
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-14 22:00:00,30,-6,5.1,9900,Summer,7,22
SHARURAH,SHARURAH,2025-07-14 21:00:00,32.3,-9,0,10000,Summer,7,21
NEJRAN,NEJRAN,2025-07-14 21:00:00,30.2,-5,2.6,10000,Summer,7,21
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-14 21:00:00,34.3,-3,4.1,10000,Summer,7,21
KING KHALED AB,KING KHALED AB,2025-07-14 21:00:00,23,3,0,9900,Summer,7,21
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-14 21:00:00,35,10,1.5,9900,Summer,7,21
KING KHALED INTL,KING KHALED INTL,2025-07-14 21:00:00,35,-7,2.6,9900,Summer,7,21
AL AHSA,AL AHSA,2025-07-14 21:00:00,36,8,1.5,9900,Summer,7,21
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-14 21:00:00,34.7,5,2.6,10000,Summer,7,21
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-14 21:00:00,34,17,2.1,9900,Summer,7,21
WEJH,WEJH,2025-07-14 21:00:00,30,25,3.1,9900,Summer,7,21
RAFHA,RAFHA,2025-07-14 21:00:00,32.7,-2,3.1,10000,Summer,7,21
AL JOUF,AL JOUF,2025-07-14 21:00:00,34.1,-5,0,10000,Summer,7,21
ARAR,ARAR,2025-07-14 21:00:00,34,-8,3.6,9900,Summer,7,21
SHARURAH,SHARURAH,2025-07-14 21:00:00,32,-9,0,9900,Summer,7,21
TAIF,TAIF,2025-07-14 21:00:00,26,-2,2.6,9900,Summer,7,21
NEJRAN,NEJRAN,2025-07-14 21:00:00,30,-5,2.6,9900,Summer,7,21
AL BAHA,AL BAHA,2025-07-14 21:00:00,27,-3,7.2,9900,Summer,7,21
KING KHALED AB,KING KHALED AB,2025-07-14 21:00:00,22.9,3,0,10000,Summer,7,21
AL AHSA,AL AHSA,2025-07-14 21:00:00,35.6,8,1.5,10000,Summer,7,21
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-07-14 21:00:00,35,5,2.6,9900,Summer,7,21
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-14 21:00:00,34.4,14,1.5,8000,Summer,7,21
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-14 21:00:00,34,14,1.5,8000,Summer,7,21
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-14 21:00:00,34,9,3.1,9900,Summer,7,21
GASSIM,GASSIM,2025-07-14 21:00:00,34,-5,3.6,10000,Summer,7,21
GASSIM,GASSIM,2025-07-14 21:00:00,34,-5,3.6,9900,Summer,7,21
RAFHA,RAFHA,2025-07-14 21:00:00,33,-2,3.1,9900,Summer,7,21
MINA,MINA,2025-07-14 21:00:00,36.4,6,2.6,10000,Summer,7,21
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-14 21:00:00,36,16,1.5,9900,Summer,7,21
TAIF,TAIF,2025-07-14 21:00:00,25.6,-2,2.6,10000,Summer,7,21
BISHA,BISHA,2025-07-14 21:00:00,32,1,4.6,9900,Summer,7,21
ABHA,ABHA,2025-07-14 21:00:00,22.9,5,0,10000,Summer,7,21
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-14 21:00:00,34,-3,4.1,9900,Summer,7,21
AL-DAWADAMI,AL-DAWADAMI,2025-07-14 21:00:00,31.1,-5,4.1,10000,Summer,7,21
HAIL,HAIL,2025-07-14 21:00:00,33.4,-8,3.1,10000,Summer,7,21
GURIAT,GURIAT,2025-07-14 21:00:00,27.1,10,4.1,10000,Summer,7,21
GURIAT,GURIAT,2025-07-14 21:00:00,27,10,4.1,9900,Summer,7,21
AL JOUF,AL JOUF,2025-07-14 21:00:00,34,-5,0,9900,Summer,7,21
BISHA,BISHA,2025-07-14 21:00:00,31.8,1,4.6,10000,Summer,7,21
ABHA,ABHA,2025-07-14 21:00:00,23,5,0,9900,Summer,7,21
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-14 21:00:00,35.3,10,1.5,10000,Summer,7,21
YENBO,YENBO,2025-07-14 21:00:00,29.8,26,1.5,10000,Summer,7,21
YENBO,YENBO,2025-07-14 21:00:00,30,26,1.5,9900,Summer,7,21
KING KHALED INTL,KING KHALED INTL,2025-07-14 21:00:00,34.6,-7,2.6,10000,Summer,7,21
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-07-14 21:00:00,31,-5,4.1,9900,Summer,7,21
HAIL,HAIL,2025-07-14 21:00:00,33,-8,3.1,9900,Summer,7,21
QAISUMAH,QAISUMAH,2025-07-14 21:00:00,37.2,-7,2.1,10000,Summer,7,21
TURAIF,TURAIF,2025-07-14 21:00:00,28.4,-1,4.1,10000,Summer,7,21
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-07-14 21:00:00,35.9,16,1.5,10000,Summer,7,21
AL BAHA,AL BAHA,2025-07-14 21:00:00,27,-3,7.2,10000,Summer,7,21
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-14 21:00:00,34.1,9,3.1,10000,Summer,7,21
WEJH,WEJH,2025-07-14 21:00:00,29.8,25,3.1,10000,Summer,7,21
TABUK,TABUK,2025-07-14 21:00:00,32.4,1,3.1,10000,Summer,7,21
TABUK,TABUK,2025-07-14 21:00:00,32,1,3.1,9900,Summer,7,21
QAISUMAH,QAISUMAH,2025-07-14 21:00:00,37,-7,2.1,9900,Summer,7,21
ARAR,ARAR,2025-07-14 21:00:00,34.3,-8,3.6,10000,Summer,7,21
TURAIF,TURAIF,2025-07-14 21:00:00,28,-1,4.1,9900,Summer,7,21
AL AHSA,AL AHSA,2025-07-14 20:00:00,36,8,0,9900,Summer,7,20
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-07-14 20:00:00,35,20,1.5,9900,Summer,7,20
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-07-14 20:00:00,35,11,1.5,8000,Summer,7,20
QAISUMAH,QAISUMAH,2025-07-14 20:00:00,37,-7,2.1,9900,Summer,7,20
AL JOUF,AL JOUF,2025-07-14 20:00:00,34,-5,1.5,9900,Summer,7,20
TAIF,TAIF,2025-07-14 20:00:00,27,-2,3.6,9900,Summer,7,20
NEJRAN,NEJRAN,2025-07-14 20:00:00,32,-6,0,9900,Summer,7,20
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-07-14 20:00:00,35,9,2.1,9900,Summer,7,20
YENBO,YENBO,2025-07-14 20:00:00,31,28,2.6,9900,Summer,7,20
KING KHALED INTL,KING KHALED INTL,2025-07-14 20:00:00,36,-5,3.1,9900,Summer,7,20
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-07-14 20:00:00,35,10,3.1,9900,Summer,7,20
GURIAT,GURIAT,2025-07-14 20:00:00,29,10,6.2,9900,Summer,7,20
ARAR,ARAR,2025-07-14 20:00:00,35,-8,3.1,9900,Summer,7,20
SHARURAH,SHARURAH,2025-07-14 20:00:00,33,-8,2.1,9900,Summer,7,20
ABHA,ABHA,2025-07-14 20:00:00,23,4,0,9900,Summer,7,20
TABUK,TABUK,2025-07-14 20:00:00,33,1,1.5,9900,Summer,7,20
TURAIF,TURAIF,2025-07-14 20:00:00,30,-1,4.1,9900,Summer,7,20
AL BAHA,AL BAHA,2025-07-14 20:00:00,28,-1,8.2,9900,Summer,7,20
WADI AL DAWASIR,WADI AL DAWASIR,2025-07-14 20:00:00,34,-2,3.1,9900,Summer,7,20
